,0,1,2,3
0,135.0,62.0,875830018.0,0.0
1,24.0,343.0,875830019.0,0.0
2,63.0,343.0,875830021.0,0.0
3,117.0,82.0,875830021.0,0.0
4,72.0,322.0,875830021.0,0.0
5,110.0,286.0,875830022.0,0.0
6,116.0,274.0,875830029.0,0.0
7,259.0,31.0,875830033.0,1.0
8,203.0,239.0,875830033.0,0.0
9,189.0,14.0,875830036.0,1.0
10,259.0,60.0,875830036.0,0.0
11,168.0,74.0,875830037.0,0.0
12,71.0,262.0,875830037.0,1.0
13,75.0,292.0,875830038.0,1.0
14,14.0,340.0,875830038.0,1.0
15,178.0,311.0,875830038.0,1.0
16,107.0,272.0,875830040.0,1.0
17,34.0,315.0,875830040.0,1.0
18,59.0,323.0,875830042.0,1.0
19,66.0,303.0,875830043.0,1.0
20,99.0,322.0,875830044.0,1.0
21,93.0,329.0,875830044.0,1.0
22,35.0,308.0,875830044.0,1.0
23,170.0,277.0,875830044.0,0.0
24,116.0,55.0,875830045.0,1.0
25,86.0,303.0,875830045.0,1.0
26,82.0,281.0,875830046.0,1.0
27,225.0,297.0,875830047.0,1.0
28,175.0,106.0,875830049.0,0.0
29,77.0,271.0,875830055.0,0.0
30,39.0,335.0,875830055.0,0.0
31,185.0,41.0,875830056.0,0.0
32,31.0,289.0,875830063.0,0.0
33,84.0,274.0,875830067.0,0.0
34,107.0,41.0,875830067.0,1.0
35,11.0,316.0,875830068.0,1.0
36,188.0,339.0,875830069.0,1.0
37,154.0,339.0,875830070.0,0.0
38,88.0,286.0,875830070.0,1.0
39,179.0,310.0,875830070.0,1.0
40,81.0,3.0,875830070.0,0.0
41,155.0,68.0,875830070.0,1.0
42,73.0,311.0,875830071.0,1.0
43,149.0,79.0,875830071.0,1.0
44,85.0,20.0,875830072.0,1.0
45,24.0,315.0,875830072.0,1.0
46,99.0,5.0,875830073.0,1.0
47,15.0,339.0,875830073.0,1.0
48,142.0,329.0,875830073.0,1.0
49,113.0,315.0,875830074.0,1.0
50,150.0,70.0,875830074.0,1.0
51,129.0,222.0,875830074.0,1.0
52,134.0,314.0,875830075.0,1.0
53,66.0,342.0,875830075.0,1.0
54,54.0,324.0,875830075.0,1.0
55,63.0,286.0,875830075.0,1.0
56,89.0,307.0,875830075.0,1.0
57,171.0,249.0,875830076.0,1.0
58,86.0,281.0,875830076.0,1.0
59,199.0,14.0,875830076.0,1.0
60,103.0,294.0,875830077.0,1.0
61,170.0,84.0,875830077.0,1.0
62,186.0,334.0,875830077.0,1.0
63,118.0,341.0,875830077.0,1.0
64,114.0,272.0,875830077.0,1.0
65,60.0,274.0,875830078.0,1.0
66,177.0,169.0,875830078.0,1.0
67,100.0,290.0,875830078.0,1.0
68,136.0,343.0,875830079.0,1.0
69,97.0,268.0,875830080.0,1.0
70,98.0,345.0,875830080.0,1.0
71,43.0,313.0,875830081.0,1.0
72,117.0,312.0,875830081.0,1.0
73,109.0,259.0,875830082.0,1.0
74,122.0,110.0,875830083.0,1.0
75,91.0,312.0,875830102.0,1.0
76,125.0,60.0,875830105.0,1.0
77,114.0,312.0,875830106.0,1.0
78,144.0,328.0,875830107.0,1.0
79,100.0,11.0,875830108.0,1.0
80,177.0,117.0,875830109.0,1.0
81,253.0,0.0,875830110.0,0.0
82,163.0,69.0,875830110.0,1.0
83,129.0,345.0,875830111.0,1.0
84,76.0,278.0,875830111.0,1.0
85,106.0,264.0,875830112.0,1.0
86,138.0,68.0,875830114.0,1.0
87,35.0,329.0,875830115.0,1.0
88,89.0,288.0,875830121.0,1.0
89,251.0,1.0,875830124.0,0.0
90,50.0,293.0,875830125.0,0.0
91,118.0,18.0,875830126.0,1.0
92,166.0,266.0,875830128.0,1.0
93,180.0,97.0,875830142.0,0.0
94,159.0,83.0,875830145.0,0.0
95,97.0,45.0,875830152.0,1.0
96,162.0,88.0,875830155.0,0.0
97,81.0,288.0,875830156.0,0.0
98,89.0,2.0,875830157.0,0.0
99,66.0,296.0,875830162.0,1.0
100,171.0,68.0,875830165.0,0.0
101,78.0,309.0,875830165.0,1.0
102,148.0,301.0,875830169.0,1.0
103,94.0,16.0,875830169.0,1.0
104,116.0,272.0,875830169.0,1.0
105,100.0,315.0,875830169.0,1.0
106,40.0,323.0,875830170.0,1.0
107,174.0,111.0,875830172.0,1.0
108,165.0,67.0,875830175.0,1.0
109,189.0,19.0,875830178.0,1.0
110,69.0,274.0,875830179.0,1.0
111,66.0,309.0,875830180.0,1.0
112,84.0,276.0,875830180.0,0.0
113,11.0,321.0,875830180.0,1.0
114,85.0,295.0,875830182.0,1.0
115,178.0,298.0,875830186.0,1.0
116,90.0,303.0,875830186.0,0.0
117,107.0,266.0,875830191.0,1.0
118,113.0,341.0,875830194.0,0.0
119,181.0,330.0,875830197.0,1.0
120,182.0,341.0,875830198.0,1.0
121,101.0,316.0,875830198.0,1.0
122,220.0,204.0,875830199.0,0.0
123,97.0,307.0,875830202.0,1.0
124,163.0,67.0,875830204.0,1.0
125,174.0,275.0,875830205.0,1.0
126,15.0,340.0,875830206.0,1.0
127,147.0,235.0,875830207.0,1.0
128,163.0,88.0,875830215.0,0.0
129,69.0,333.0,875830217.0,0.0
130,82.0,283.0,875830218.0,1.0
131,79.0,4.0,875830219.0,0.0
132,12.0,337.0,875830221.0,1.0
133,77.0,257.0,875830222.0,0.0
134,14.0,323.0,875830225.0,1.0
135,28.0,335.0,875830225.0,1.0
136,121.0,264.0,875830226.0,1.0
137,73.0,338.0,875830226.0,1.0
138,114.0,36.0,875830227.0,1.0
139,140.0,328.0,875830231.0,1.0
140,106.0,266.0,875830232.0,1.0
141,87.0,24.0,875830233.0,1.0
142,107.0,1.0,875830233.0,0.0
143,33.0,344.0,875830233.0,1.0
144,100.0,286.0,875830235.0,1.0
145,88.0,294.0,875830236.0,1.0
146,71.0,278.0,875830240.0,0.0
147,61.0,335.0,875830247.0,0.0
148,65.0,338.0,875830250.0,1.0
149,180.0,310.0,875830251.0,1.0
150,93.0,266.0,875830258.0,1.0
151,202.0,108.0,875830259.0,1.0
152,182.0,66.0,875830263.0,0.0
153,58.0,275.0,875830263.0,0.0
154,79.0,267.0,875830268.0,1.0
155,63.0,344.0,875830270.0,0.0
156,50.0,292.0,875830270.0,0.0
157,104.0,254.0,875830274.0,1.0
158,166.0,72.0,875830275.0,1.0
159,156.0,69.0,875830275.0,1.0
160,71.0,292.0,875830276.0,1.0
161,73.0,290.0,875830277.0,1.0
162,93.0,8.0,875830281.0,1.0
163,40.0,337.0,875830286.0,0.0
164,79.0,292.0,875830291.0,1.0
165,125.0,343.0,875830292.0,1.0
166,107.0,6.0,875830296.0,1.0
167,163.0,144.0,875830297.0,1.0
168,137.0,344.0,875830301.0,1.0
169,99.0,293.0,875830302.0,1.0
170,144.0,300.0,875830303.0,1.0
171,177.0,279.0,875830305.0,0.0
172,125.0,58.0,875830308.0,1.0
173,207.0,74.0,875830312.0,1.0
174,164.0,302.0,875830324.0,1.0
175,179.0,315.0,875830325.0,1.0
176,36.0,325.0,875830327.0,0.0
177,234.0,84.0,875830329.0,0.0
178,31.0,320.0,875830335.0,0.0
179,151.0,6.0,875830339.0,1.0
180,253.0,13.0,875830339.0,0.0
181,121.0,267.0,875830341.0,0.0
182,188.0,115.0,875830346.0,0.0
183,75.0,332.0,875830347.0,1.0
184,117.0,17.0,875830348.0,1.0
185,72.0,320.0,875830349.0,0.0
186,169.0,84.0,875830349.0,1.0
187,66.0,279.0,875830350.0,0.0
188,184.0,60.0,875830356.0,1.0
189,147.0,334.0,875830358.0,1.0
190,103.0,24.0,875830361.0,1.0
191,171.0,261.0,875830362.0,1.0
192,195.0,20.0,875830363.0,1.0
193,79.0,296.0,875830364.0,0.0
194,77.0,294.0,875830366.0,1.0
195,189.0,18.0,875830367.0,1.0
196,67.0,282.0,875830367.0,0.0
197,149.0,332.0,875830368.0,0.0
198,66.0,343.0,875830369.0,1.0
199,172.0,31.0,875830369.0,0.0
200,140.0,117.0,875830373.0,0.0
201,187.0,29.0,875830373.0,1.0
202,81.0,286.0,875830373.0,0.0
203,112.0,296.0,875830374.0,1.0
204,110.0,285.0,875830378.0,0.0
205,63.0,345.0,875830384.0,0.0
206,90.0,8.0,875830385.0,1.0
207,152.0,329.0,875830388.0,1.0
208,182.0,337.0,875830389.0,1.0
209,91.0,341.0,875830390.0,1.0
210,88.0,322.0,875830390.0,1.0
211,189.0,10.0,875830397.0,1.0
212,77.0,20.0,875830406.0,0.0
213,173.0,270.0,875830408.0,1.0
214,127.0,94.0,875830409.0,1.0
215,88.0,300.0,875830411.0,0.0
216,185.0,118.0,875830412.0,1.0
217,152.0,69.0,875830413.0,1.0
218,64.0,345.0,875830413.0,0.0
219,74.0,284.0,875830414.0,0.0
220,95.0,293.0,875830415.0,1.0
221,83.0,267.0,875830420.0,0.0
222,189.0,9.0,875830420.0,1.0
223,171.0,336.0,875830423.0,1.0
224,87.0,284.0,875830425.0,1.0
225,42.0,345.0,875830426.0,0.0
226,72.0,274.0,875830428.0,1.0
227,48.0,293.0,875830428.0,0.0
228,60.0,313.0,875830430.0,1.0
229,124.0,234.0,875830432.0,1.0
230,94.0,324.0,875830437.0,1.0
231,95.0,32.0,875830438.0,1.0
232,77.0,23.0,875830440.0,1.0
233,70.0,328.0,875830440.0,1.0
234,118.0,294.0,875830441.0,1.0
235,160.0,122.0,875830441.0,1.0
236,58.0,292.0,875830442.0,0.0
237,43.0,336.0,875830443.0,1.0
238,87.0,14.0,875830446.0,1.0
239,139.0,339.0,875830447.0,1.0
240,250.0,34.0,875830450.0,0.0
241,143.0,299.0,875830458.0,1.0
242,76.0,314.0,875830462.0,1.0
243,79.0,294.0,875830463.0,1.0
244,113.0,311.0,875830467.0,1.0
245,161.0,69.0,875830468.0,1.0
246,92.0,25.0,875830471.0,1.0
247,100.0,294.0,875830474.0,1.0
248,89.0,297.0,875830474.0,0.0
249,42.0,322.0,875830477.0,1.0
250,134.0,63.0,875830481.0,0.0
251,111.0,312.0,875830484.0,1.0
252,81.0,287.0,875830489.0,0.0
253,174.0,107.0,875830489.0,0.0
254,185.0,337.0,875830490.0,1.0
255,44.0,341.0,875830491.0,1.0
256,40.0,328.0,875830492.0,1.0
257,89.0,30.0,875830493.0,1.0
258,63.0,313.0,875830493.0,1.0
259,36.0,344.0,875830494.0,1.0
260,183.0,344.0,875830494.0,0.0
261,15.0,344.0,875830494.0,1.0
